               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025266,            0.048406,            0.015282,             0.80774,              0.7955,              0.8106,              0.6066,            0.021679,            0.041484,            0.011951,            0.002872,            0.002872,            0.002872
                  38,            0.025179,            0.047904,             0.01471,             0.81402,             0.79206,             0.80879,             0.60727,            0.021768,            0.041343,            0.011782,            0.002674,            0.002674,            0.002674
                  39,            0.024748,            0.045439,            0.014376,             0.81452,             0.78566,             0.80736,             0.60841,            0.021597,            0.041598,            0.011526,            0.002476,            0.002476,            0.002476
                  40,            0.024337,            0.045836,            0.014209,             0.82629,             0.76864,             0.80228,              0.6063,            0.021159,            0.041654,            0.011373,            0.002278,            0.002278,            0.002278
                  41,            0.024303,            0.046391,            0.013887,             0.77643,             0.80017,             0.80522,             0.60853,            0.021128,            0.042355,            0.011276,             0.00208,             0.00208,             0.00208
                  42,            0.023907,            0.046677,            0.013542,             0.79623,             0.79444,             0.80174,             0.61086,            0.020934,            0.042743,            0.011223,            0.001882,            0.001882,            0.001882
                  43,            0.023067,            0.044261,            0.013242,             0.79736,             0.78809,             0.79102,              0.6014,            0.021378,            0.043857,            0.010858,            0.001684,            0.001684,            0.001684
                  44,            0.022925,            0.044528,            0.012452,             0.79249,             0.81784,             0.81227,             0.62209,            0.020486,             0.04212,            0.010487,            0.001486,            0.001486,            0.001486
                  45,            0.022991,            0.045557,            0.012826,             0.81125,             0.79051,             0.80477,             0.61713,            0.020461,            0.042885,            0.010452,            0.001288,            0.001288,            0.001288
                  46,            0.022244,            0.043422,            0.011941,             0.80608,             0.80678,             0.81605,             0.62799,            0.020164,            0.042259,             0.01035,             0.00109,             0.00109,             0.00109
                  47,            0.021921,            0.044618,               0.013,             0.79799,             0.81859,             0.81409,             0.63016,             0.02012,             0.04254,            0.010164,            0.000892,            0.000892,            0.000892
                  48,            0.022019,            0.044645,            0.012499,             0.79814,             0.80043,             0.80703,             0.62633,            0.020151,            0.043278,            0.010031,            0.000694,            0.000694,            0.000694
                  49,            0.021463,            0.042472,            0.011726,             0.80432,             0.78137,              0.7944,             0.61559,            0.020125,            0.044024,             0.01007,            0.000496,            0.000496,            0.000496
