               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026332,            0.049912,            0.019379,             0.80219,             0.74097,             0.76914,             0.57142,            0.022022,            0.042622,            0.014643,            0.002872,            0.002872,            0.002872
                  38,            0.026067,            0.049339,            0.018959,             0.80328,             0.75505,             0.77998,             0.57663,            0.022127,            0.041634,            0.014396,            0.002674,            0.002674,            0.002674
                  39,            0.025313,            0.047034,             0.01858,              0.8324,             0.75516,             0.78036,             0.58588,            0.021577,             0.04125,            0.013704,            0.002476,            0.002476,            0.002476
                  40,            0.025024,            0.047376,            0.018178,              0.8124,             0.72975,             0.76371,             0.57562,            0.021581,            0.042146,            0.013607,            0.002278,            0.002278,            0.002278
                  41,            0.025048,            0.047988,              0.0178,             0.81041,             0.74521,             0.78025,             0.58592,            0.021411,            0.041606,            0.013309,             0.00208,             0.00208,             0.00208
                  42,            0.024502,            0.048688,            0.017225,             0.79968,             0.75637,             0.78073,             0.59258,            0.021581,            0.042179,            0.012931,            0.001882,            0.001882,            0.001882
                  43,            0.023934,            0.046119,            0.016975,             0.78843,             0.75264,             0.77893,             0.58877,            0.022033,            0.043032,            0.012727,            0.001684,            0.001684,            0.001684
                  44,             0.02371,              0.0463,            0.016204,             0.78739,             0.76888,             0.77971,             0.59942,            0.021103,            0.042249,            0.012547,            0.001486,            0.001486,            0.001486
                  45,            0.023627,            0.047859,             0.01655,             0.80185,             0.77217,             0.79061,             0.61033,            0.020462,             0.04205,            0.012343,            0.001288,            0.001288,            0.001288
                  46,            0.022887,             0.04518,            0.015278,             0.75444,             0.80471,             0.79102,             0.60463,            0.020522,            0.041422,            0.011995,             0.00109,             0.00109,             0.00109
                  47,            0.022632,            0.046517,             0.01651,             0.76707,             0.78753,             0.78407,              0.6082,             0.02033,            0.041933,            0.011972,            0.000892,            0.000892,            0.000892
                  48,            0.022762,            0.046814,            0.015867,             0.76279,             0.78777,             0.78227,             0.60738,            0.020253,            0.042191,            0.011705,            0.000694,            0.000694,            0.000694
                  49,            0.022207,            0.044381,             0.01504,             0.76853,             0.77331,             0.77993,             0.60418,            0.020426,            0.042479,            0.011693,            0.000496,            0.000496,            0.000496
