               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028268,            0.056161,            0.040887,             0.76483,             0.47195,             0.55321,             0.39708,            0.023648,            0.040874,            0.034764,            0.002872,            0.002872,            0.002872
                  38,            0.028069,            0.055814,            0.040094,             0.79669,             0.47624,             0.56272,             0.40707,            0.023313,             0.04085,            0.033801,            0.002674,            0.002674,            0.002674
                  39,            0.027887,            0.052884,            0.039183,             0.82597,             0.46804,             0.57371,             0.42566,            0.022821,             0.04073,            0.032806,            0.002476,            0.002476,            0.002476
                  40,            0.027557,            0.053212,            0.038799,             0.84959,             0.47052,              0.5814,             0.43267,            0.022842,            0.040751,            0.031902,            0.002278,            0.002278,            0.002278
                  41,            0.027489,            0.054219,             0.03788,             0.84699,             0.46945,             0.59414,             0.44282,            0.022998,            0.040854,            0.031417,             0.00208,             0.00208,             0.00208
                  42,            0.027251,            0.055997,            0.036908,             0.83024,             0.48463,             0.59043,             0.44873,            0.022473,             0.04084,            0.030524,            0.001882,            0.001882,            0.001882
                  43,            0.026491,            0.052885,            0.036834,             0.86076,             0.48237,             0.60082,             0.44986,            0.022878,             0.04057,            0.030079,            0.001684,            0.001684,            0.001684
                  44,            0.026422,            0.053054,            0.035579,             0.84655,             0.49217,             0.61671,             0.46677,            0.022191,            0.040915,            0.029366,            0.001486,            0.001486,            0.001486
                  45,            0.026508,            0.054546,            0.035418,             0.87001,             0.48418,             0.61027,             0.46811,            0.021839,            0.041093,            0.028946,            0.001288,            0.001288,            0.001288
                  46,            0.025804,            0.052203,            0.034141,              0.8611,             0.49085,             0.61987,             0.47736,            0.021688,            0.040464,            0.028305,             0.00109,             0.00109,             0.00109
                  47,            0.025602,            0.053839,            0.035274,             0.85114,             0.49488,             0.63513,             0.48789,            0.021509,             0.04043,            0.027743,            0.000892,            0.000892,            0.000892
                  48,            0.025881,             0.05407,            0.034253,             0.86151,             0.49473,             0.63658,             0.49193,            0.021449,            0.040361,            0.027213,            0.000694,            0.000694,            0.000694
                  49,             0.02533,            0.052047,            0.033377,             0.86823,             0.49457,              0.6348,             0.48728,            0.021497,            0.040217,            0.026946,            0.000496,            0.000496,            0.000496
