               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026828,            0.052384,            0.026324,             0.78806,             0.65976,             0.70807,             0.51829,            0.022804,            0.042272,            0.020138,            0.002872,            0.002872,            0.002872
                  38,            0.026837,            0.051954,            0.025525,             0.79647,             0.68882,             0.72846,             0.53912,            0.022222,            0.041506,            0.019505,            0.002674,            0.002674,            0.002674
                  39,            0.026752,            0.049461,            0.024711,             0.79465,             0.70149,             0.73494,             0.53807,            0.022547,            0.041431,            0.018798,            0.002476,            0.002476,            0.002476
                  40,            0.026281,            0.049555,            0.024552,             0.79916,             0.69317,             0.73528,             0.54431,            0.021877,            0.040953,            0.018393,            0.002278,            0.002278,            0.002278
                  41,            0.025922,            0.050159,            0.024058,             0.80665,             0.70078,             0.73618,              0.5506,             0.02169,            0.041975,            0.017981,             0.00208,             0.00208,             0.00208
                  42,            0.025532,            0.051165,            0.023442,             0.82387,             0.70409,             0.74929,              0.5649,            0.021489,            0.042049,            0.017784,            0.001882,            0.001882,            0.001882
                  43,            0.024834,            0.048528,            0.023186,             0.83307,             0.70871,             0.75241,              0.5662,            0.021882,            0.042212,            0.017273,            0.001684,            0.001684,            0.001684
                  44,            0.024789,            0.048978,            0.021989,             0.81211,             0.73008,             0.76203,             0.57437,            0.021453,            0.041299,            0.016797,            0.001486,            0.001486,            0.001486
                  45,            0.024779,            0.049976,            0.022022,             0.80824,             0.72305,             0.75359,             0.57926,            0.020765,            0.041629,            0.016545,            0.001288,            0.001288,            0.001288
                  46,            0.024047,            0.047863,            0.021028,             0.81138,               0.733,             0.76795,             0.58494,            0.020596,            0.040942,            0.016197,             0.00109,             0.00109,             0.00109
                  47,              0.0237,             0.04926,            0.022308,              0.8045,             0.72791,             0.76937,             0.58709,             0.02059,             0.04096,            0.015949,            0.000892,            0.000892,            0.000892
                  48,            0.023812,            0.049378,            0.021387,             0.79789,             0.72547,             0.76855,               0.591,            0.020338,            0.041162,             0.01561,            0.000694,            0.000694,            0.000694
                  49,            0.023255,            0.047061,            0.020382,             0.79588,             0.73149,             0.76482,             0.58825,            0.020377,            0.041002,            0.015479,            0.000496,            0.000496,            0.000496
